             DATE WDSP VISIB  TEMP  DEWP    SLP
20240101 20240101  3.1 14.00  -1.1  -4.4 1020.6
20240102 20240102  3.6 16.09  -3.9  -7.2 1025.6
20240103 20240103  1.5  9.00  -1.1  -2.2 1018.8
20240104 20240104  2.6 16.00   0.6  -3.9 1020.5
20240105 20240105  1.5 16.00  -2.2  -8.3 1027.3
20240106 20240106  2.6 16.00  -1.1  -3.9 1018.2
20240107 20240107  1.5 12.00   0.0  -2.8 1006.1
20240108 20240108  1.5 16.09   0.0  -4.4 1020.7
20240109 20240109  5.1 16.00   0.0  -2.8 1019.2
20240110 20240110 10.3  2.00   0.0  -1.1  987.0
20240111 20240111  4.1 16.00  -2.8  -5.0 1000.9
20240112 20240112  2.6 16.09  -2.2  -5.0 1013.7
20240113 20240113 10.3  1.60  -0.6  -1.7  988.3
20240114 20240114  4.1 14.00 -10.6 -14.4 1008.7
20240115 20240115  4.6 16.09 -19.4 -22.2 1023.5
20240116 20240116  4.6 16.09 -18.9 -23.9 1022.5
20240117 20240117  4.6 16.00 -17.8 -22.8 1015.1
20240118 20240118  3.1 16.00 -11.7 -16.7 1015.3
20240119 20240119  2.1 16.00 -11.7 -17.8 1020.3
20240120 20240120  3.6 14.00 -14.4 -18.3 1029.6
20240121 20240121  2.1 16.00 -13.3 -19.4 1036.4
20240122 20240122  7.7 16.00 -10.0 -15.6 1027.9
20240123 20240123  2.1 16.00  -0.6  -2.8 1023.0
20240124 20240124  2.1  8.00   0.6  -0.6 1024.7
20240125 20240125  1.5  3.22   0.0  -0.6 1020.3
20240126 20240126  2.1  3.20   1.1   0.6 1018.2
20240127 20240127  1.5  1.21   1.1   0.6 1024.2
20240128 20240128  3.1 14.00   2.2   1.1 1022.1
20240129 20240129  3.1 16.00   0.0  -2.2 1023.2
20240130 20240130  3.1 14.00   1.1  -0.6 1014.2
20240131 20240131  2.6 16.00   2.2  -1.1 1017.3
20240201 20240201  3.1 16.00   3.9  -0.6 1015.5
20240202 20240202  2.6 16.00   2.8   0.6 1016.4
20240203 20240203  4.1 16.00   0.6  -2.2 1021.7
20240204 20240204  1.5 16.00   2.2  -1.1 1019.0
20240205 20240205  1.5 16.00   1.1  -3.3 1020.2
20240206 20240206  1.5  9.66  -6.1  -7.2 1023.1
20240207 20240207  3.6 16.00   2.8  -1.7 1021.9
20240208 20240208  3.1 16.00   5.6   1.1 1016.2
20240209 20240209  4.6 16.00  11.7   5.6  999.3
20240210 20240210  4.6 16.09   3.3  -2.8 1009.5
20240211 20240211  1.5 16.00   0.6  -6.1 1017.8
20240212 20240212  1.5 16.09  -2.8  -6.1 1016.4
20240213 20240213  2.1 16.00   4.4  -5.6 1010.4
20240214 20240214  3.6 16.00  -1.7  -8.3 1019.1
20240215 20240215  4.1 16.00   5.6  -3.9 1019.0
20240216 20240216  3.6 16.00  -0.6  -8.9 1020.6
20240217 20240217  5.7 16.00  -4.4 -11.7 1019.4
20240218 20240218  5.1 16.00  -2.2 -11.1 1010.5
20240219 20240219  1.5 16.00   1.7 -10.0 1013.2
20240220 20240220  2.1 16.00   2.2  -9.4 1019.9
20240221 20240221  1.5 16.00  10.0  -3.3 1016.4
20240222 20240222  1.5 16.09   2.2   0.0 1009.1
20240223 20240223  2.1 16.09   8.3  -0.6 1004.5
20240224 20240224  6.7  2.40  -4.4  -6.7 1011.8
20240225 20240225  4.1 16.00  -0.6 -10.0 1014.5
20240226 20240226  1.5 16.09  -2.8  -4.4 1010.5
20240227 20240227  2.6 16.09  14.4  -1.1  997.1
20240228 20240228  4.1 16.00  17.2   0.0  990.1
20240229 20240229  4.6 16.00  -5.6 -18.9 1023.8
20240301 20240301  4.6 16.00   6.1  -9.4 1022.9
20240302 20240302  4.1 16.00   6.1  -4.4 1016.0
20240303 20240303  4.1 16.00  12.2   2.2 1013.1
20240304 20240304  8.8 16.00  20.6   7.2 1001.9
20240305 20240305  8.8 16.00   5.0   2.8 1012.0
20240306 20240306  3.6 16.00   5.6  -2.2 1018.7
20240307 20240307  4.1 16.00   6.1 -10.0 1019.6
20240308 20240308  4.6 16.00   7.8   2.2 1017.3
20240309 20240309  6.7 14.00   4.4   2.8 1012.9
20240310 20240310  3.6 16.00   1.7  -7.2 1014.1
20240311 20240311  2.6 16.09   1.1  -7.2 1019.7
20240312 20240312  2.6 16.00  15.6   2.2 1010.6
20240313 20240313  1.5 16.00  16.1   3.9 1006.2
20240314 20240314  5.1 16.00  13.9   0.6 1012.5
20240315 20240315  2.1 16.00   5.0   2.2 1016.4
20240316 20240316  2.1 16.09   7.8   0.0 1015.9
20240317 20240317  4.1 16.00   6.1  -5.6 1006.5
20240318 20240318  5.1 16.00  -1.1 -11.1 1015.6
20240319 20240319  2.6 16.00   1.1 -10.6 1018.2
20240320 20240320  3.6 16.00  10.6  -5.0 1003.9
20240321 20240321  4.1 16.00  -0.6 -18.3 1021.6
20240322 20240322  2.6 16.00   1.1 -12.8 1023.1
20240323 20240323  5.7 16.00  -0.6  -3.3 1022.3
20240324 20240324  4.6 16.09   0.0  -8.9 1025.0
20240325 20240325  4.6 16.00   2.8  -3.3 1012.8
20240326 20240326  8.2  4.80  10.0   8.9 1002.7
20240327 20240327  4.1 16.09   0.0  -4.4 1003.2
20240328 20240328  5.1 16.09   1.1  -7.8 1018.5
20240329 20240329  2.1 16.09   4.4  -9.4 1017.4
20240330 20240330  6.7 16.09   7.8  -1.1 1013.1
20240331 20240331  3.1 16.09   5.6   2.2 1013.6
20240401 20240401  3.1 16.09   6.7   2.8 1012.3
20240402 20240402  7.2 14.00   2.2   1.1 1011.3
20240403 20240403  8.2  3.20   0.6  -0.6  995.0
20240404 20240404  7.7 16.00   1.1  -1.1  998.5
20240405 20240405  4.1 16.00   5.0  -0.6 1013.3
20240406 20240406  2.6 16.00   7.8  -2.8 1022.6
20240407 20240407  5.7 16.00  10.0  -1.7 1019.6
20240408 20240408  5.7 16.00   7.2   4.4 1010.1
20240409 20240409  1.5 16.00  15.0   5.0 1010.8
20240410 20240410  3.6 16.00  15.0   1.1 1011.8
20240411 20240411  1.5 16.00  18.3   0.6 1009.4
20240412 20240412  1.5 16.00  12.8   6.1 1001.8
20240413 20240413  5.1 16.00  14.4   0.0 1013.3
20240414 20240414  4.1 16.00  20.0   2.8 1008.7
20240415 20240415  4.1 16.00  23.9   2.8 1006.8
20240416 20240416  3.6 16.00  19.4   2.8 1015.2
20240417 20240417  8.8 11.00  15.6  11.1 1003.1
20240418 20240418  3.6 16.00  11.1   6.1 1009.0
20240419 20240419  2.1 16.09   8.9   7.2 1016.6
20240420 20240420  5.7 16.00   7.8  -5.6 1017.9
20240421 20240421  3.1 16.00   2.8  -6.1 1023.2
20240422 20240422  3.1 16.00  13.3  -5.0 1019.1
20240423 20240423  5.1 16.00  16.1  -2.2 1009.6
20240424 20240424  6.2 16.00  15.6   1.7 1009.4
20240425 20240425  2.6 16.00  10.6  -6.7 1024.9
20240426 20240426  4.6 16.00  13.3  -5.6 1023.0
20240427 20240427  5.7 16.00   9.4   7.8 1009.7
20240428 20240428  3.6 16.09  21.0  13.0 1009.8
