"DATE","WDSP","VISIB","TEMP","DEWP","SLP"
20190101,6.2,1.2,-0.6,-1.1,1007
20190102,1.5,16,-7.2,-10.6,1028.4
20190103,4.1,16,-4.4,-8.3,1016
20190104,4.1,16,1.7,-2.2,1011.5
20190105,1.5,14.48,-1.1,-2.2,1008.5
20190106,2.6,16,3.9,-1.7,1013.4
20190107,6.2,16,0.6,-2.8,1022.1
20190108,2.1,14.48,4.4,1.7,1005.8
20190109,7.2,16,-1.7,-8.9,1014.3
20190110,4.1,16,-8.9,-15,1029.2
20190111,2.1,16,-6.7,-11.1,1029.3
20190112,3.6,16,-2.2,-6.7,1026.2
20190113,6.7,16,-1.1,-5.6,1029.4
20190114,1.5,16,-2.8,-6.7,1030.5
20190115,3.6,9.66,-5,-6.7,1024.9
20190116,4.6,16,-1.1,-2.8,1015.4
20190117,2.1,16,-5.6,-11.7,1026.3
20190118,1.5,11,-1.7,-4.4,1018
20190119,4.6,1.2,-8.3,-10.6,1023.8
20190120,3.1,16,-11.7,-15.6,1023.1
20190121,1.5,16.09,-22.2,-24.4,1034.2
20190122,6.2,16,-10,-15,1030.1
20190123,1.5,1.21,-5,-6.1,1015.8
20190124,3.1,16,-6.7,-11.1,1010.7
20190125,5.1,4.8,-11.1,-14.4,1015.9
20190126,4.6,16.09,-20.6,-23.9,1022.5
20190127,1.5,14.48,-16.1,-18.9,1016.9
20190128,3.1,16,-18.3,-23.3,1018.2
20190129,5.1,16,-12.8,-16.7,1011.2
20190130,6.2,11,-20.6,-28.9,1016.1
20190131,2.6,16,-26.7,-32.2,1027.5
20190201,2.6,9,-21.1,-26.7,1028.5
20190202,3.1,16,-10.6,-15,1025.3
20190203,4.1,2.8,2.8,1.7,1012.4
20190204,2.1,0.4,3.3,3.3,1008.2
20190205,5.1,16,-0.6,-3.3,1010.6
20190206,7.2,3.2,-5.6,-7.8,1017.4
20190207,7.7,14,-2.2,-3.9,1015.5
20190208,4.6,16,-6.1,-8.9,1007.1
20190209,2.6,16.09,-15,-19.4,1040.1
20190210,3.1,16,-8.9,-13.9,1041.4
20190211,2.1,4,-3.3,-5,1023.9
20190212,5.7,11,-2.2,-5,1019.7
20190213,6.2,8,-4.4,-7.2,1003.4
20190214,1.5,16,-6.1,-11.1,1012.9
20190215,4.6,16,3.3,-2.2,1000.1
20190216,2.6,16,-10,-16.7,1018.1
20190217,2.6,16,-6.1,-10,1020.1
20190218,7.7,1.6,-6.1,-7.8,1015
20190219,1.5,16.09,-8.9,-12.8,1034.5
20190220,3.1,16,-5,-10.6,1033.1
20190221,3.1,16,1.1,-2.2,1004.8
20190222,1.5,16.09,-5.6,-11.7,1026.3
20190223,2.6,11,-1.7,-6.7,1029
20190224,5.1,2.8,0,-0.6,1003.8
20190225,7.7,16,-8.3,-13.9,1013.3
20190226,2.1,16,-12.2,-18.9,1033.1
20190227,4.6,14,-11.7,-15,1031.8
20190228,2.1,16,-9.4,-15.6,1024.6
20190301,1.5,16,-6.7,-15.6,1023
20190302,4.1,16,-2.2,-10,1020.8
20190303,2.1,16,-5,-9.4,1026.6
20190304,2.6,16,-13.9,-23.9,1023.7
20190305,4.6,16,-15.6,-20.6,1020.2
20190306,4.1,16,-10.6,-18.3,1023.3
20190307,3.6,16,-6.1,-12.2,1022.5
20190308,3.1,16,-6.7,-15,1026.9
20190309,2.6,14,1.1,-3.3,1020.4
20190310,6.7,1.2,0,-1.7,997.3
20190311,3.1,16,-1.1,-6.1,1019.5
20190312,1.5,16.09,-0.6,-8.3,1028.6
20190313,6.7,16,4.4,-0.6,1018.4
20190314,5.7,16,8.3,5.6,1004.8
20190315,3.6,16,3.3,1.1,995
20190316,7.7,12,2.2,-6.7,1018
20190317,1.5,16,2.2,-10,1025.9
20190318,1.5,16,2.2,-6.7,1025.1
20190319,1.5,16,4.4,-6.1,1027.2
20190320,2.6,16,6.7,-4.4,1024.3
20190321,6.2,16,3.9,-0.6,1012.9
20190322,3.6,16,8.9,-2.2,1013.4
20190323,3.1,16,5.6,-4.4,1022.9
20190324,3.1,16,9.4,-1.7,1022.6
20190325,6.7,16,5.6,1.7,1020.1
20190326,2.1,16,3.3,-8.3,1028.1
